country,access_to_electricity_percentage,individuals_using_internet_percentage,year
"Gambia, The",46.8,9.2,2010
"Gambia, The",48.32,10.87,2011
"Gambia, The",49.86,12.45,2012
"Gambia, The",51.5,14,2013
"Gambia, The",53.04,15.56,2014
"Gambia, The",54.69,17.6,2015
"Gambia, The",56.35,19.9,2016
"Gambia, The",56.2,22.5,2017
"Gambia, The",60.3,25.5,2018
"Gambia, The",62.1,28.8,2019
"Gambia, The",62.23,31.6,2020
Georgia,100,26.9,2010
Georgia,100,31.52,2011
Georgia,100,36.94,2012
Georgia,100,43.3,2013
Georgia,100,44,2014
Georgia,100,47.57,2015
Georgia,100,58.46,2016
Georgia,100,59.71,2017
Georgia,99.9,62.72,2018
Georgia,100,68.85,2019
Georgia,100,72.53,2020
Germany,100,82,2010
Germany,100,81.27,2011
Germany,100,82.35,2012
Germany,100,84.17,2013
Germany,100,86.19,2014
Germany,100,87.59,2015
Germany,100,84.17,2016
Germany,100,84.39,2017
Germany,100,87.04,2018
Germany,100,88.13,2019
Germany,100,89.81,2020
Ghana,64.2,7.8,2010
Ghana,64.06,9,2011
Ghana,56.51,10.6,2012
Ghana,70.7,15,2013
Ghana,78.3,19,2014
Ghana,74,23,2015
Ghana,79.3,28,2016
Ghana,79,37.88,2017
Ghana,80.4,43,2018
Ghana,83.5,45.01,2019
Ghana,85.44,56.68,2020
Greece,100,44.4,2010
Greece,100,51.65,2011
Greece,100,55.07,2012
Greece,100,59.87,2013
Greece,100,63.21,2014
Greece,100,66.83,2015
Greece,100,69.09,2016
Greece,100,69.89,2017
Greece,100,72.24,2018
Greece,100,75.67,2019
Greece,100,78.12,2020
Greenland,100,63,2010
Greenland,100,64,2011
Greenland,100,64.9,2012
Greenland,100,65.8,2013
Greenland,100,66.7,2014
Greenland,100,67.6,2015
Greenland,100,68.5,2016
Greenland,100,69.48,2017
Grenada,89.39,27,2010
Grenada,88.8,30,2011
Grenada,90.21,32,2012
Grenada,90.62,35,2013
Grenada,91.02,51.6,2014
Grenada,91.41,52.5,2015
Grenada,91.81,53.3,2016
Grenada,92.2,54.2,2017
Grenada,92.3,61.4,2018
Grenada,92.97,69.61,2019
Grenada,93.36,74.72,2020
Guam,100,54.04,2010
Guam,100,57.7,2011
Guam,100,61.53,2012
Guam,100,65.4,2013
Guam,100,69.27,2014
Guam,100,73.14,2015
Guam,100,77.01,2016
Guam,100,80.51,2017
Guatemala,84.35,10.5,2010
Guatemala,84.03,12.3,2011
Guatemala,86.83,16,2012
Guatemala,88.07,19.7,2013
Guatemala,85.49,23.4,2014
Guatemala,90.54,28.81,2015
Guatemala,91.77,34.51,2016
Guatemala,93.3,37.9,2017
Guatemala,94.21,41.5,2018
Guatemala,95.43,44.4,2019
Guatemala,96.65,47.51,2020
Guinea,32.18,4.5,2013
Guinea,33.53,6.4,2014
Guinea,34.88,9.2,2015
Guinea,33.5,13.1,2016
Guinea,35.4,18.7,2017
Guinea,45,21.83,2018
Guinea,42.2,23.37,2019
Guinea,44.75,28.82,2020
Guinea-Bissau,30.93,22.92,2019
Guinea-Bissau,33.37,27.91,2020
Guyana,83.32,29.9,2010
Guyana,84.2,30,2011
Guyana,85.09,30.5,2012
Guyana,86.01,31,2013
Guyana,86.9,32,2014
Guyana,87.98,34,2015
Guyana,89,35.66,2016
Guyana,89.99,37.33,2017
Guyana,91.65,78.64,2019
Guyana,92.3,81.8,2020
Haiti,37.2,8.37,2010
Haiti,37.76,9,2011
Haiti,37.9,9.8,2012
Haiti,38.9,10.6,2013
Haiti,39.55,11.4,2014
Haiti,40.8,14.2,2015
Haiti,40.4,22.8,2016
Haiti,43.29,27.2,2017
Haiti,44.44,32.47,2018
Haiti,45.44,32.47,2019
Haiti,46.34,36.39,2020
"Heavily indebted poor countries (HIPC)",31.93,4.97,2012
"Heavily indebted poor countries (HIPC)",32.91,6.02,2013
"Heavily indebted poor countries (HIPC)",35.4,7.89,2014
"Heavily indebted poor countries (HIPC)",35.48,10.43,2015
"Heavily indebted poor countries (HIPC)",40.63,13.47,2016
"Heavily indebted poor countries (HIPC)",41.51,15.84,2017
"Heavily indebted poor countries (HIPC)",44.03,18.54,2018
"Heavily indebted poor countries (HIPC)",45.05,20.46,2019
"Heavily indebted poor countries (HIPC)",46.37,24.51,2020
"High income",99.89,71.5,2010
"High income",99.9,72.04,2011
"High income",99.92,74.8,2012
"High income",99.92,76.2,2013
"High income",99.93,77.9,2014
"High income",99.94,79.37,2015
"High income",99.95,83.73,2016
"High income",99.97,85.32,2017
"High income",99.97,86.92,2018
"High income",99.97,88.25,2019
"High income",99.98,89.44,2020
Honduras,80.98,11.09,2010
Honduras,82.2,15.9,2011
Honduras,83.61,18.12,2012
Honduras,87.18,17.8,2013
Honduras,88.65,23,2014
Honduras,89.98,27.1,2015
Honduras,91.6,29.53,2016
Honduras,86.5,31.74,2017
Honduras,91.6,36.04,2018
Honduras,91.1,39.39,2019
Honduras,93.09,43.49,2020
"Hong Kong SAR, China",100,72,2010
"Hong Kong SAR, China",100,72.2,2011
"Hong Kong SAR, China",100,72.9,2012
"Hong Kong SAR, China",100,74.2,2013
"Hong Kong SAR, China",100,79.87,2014
"Hong Kong SAR, China",100,84.95,2015
"Hong Kong SAR, China",100,87.48,2016
"Hong Kong SAR, China",100,89.42,2017
"Hong Kong SAR, China",100,90.51,2018
"Hong Kong SAR, China",100,91.74,2019
"Hong Kong SAR, China",100,92.41,2020
Hungary,100,65,2010
Hungary,100,68.02,2011
Hungary,99.97,70.58,2012
Hungary,99.99,72.64,2013
Hungary,100,75.65,2014
Hungary,100,72.83,2015
Hungary,100,79.26,2016
Hungary,100,76.75,2017
Hungary,100,76.07,2018
Hungary,100,80.37,2019
Hungary,100,84.77,2020
"IBRD only",91.44,24.99,2010
"IBRD only",92.51,28.58,2011
"IBRD only",92.78,31.57,2012
"IBRD only",93.79,34.01,2013
"IBRD only",94.43,36.38,2014
"IBRD only",95.18,39.18,2015
"IBRD only",95.83,42.08,2016
"IBRD only",96.61,44.57,2017
"IBRD only",97.75,48.41,2018
"IBRD only",97.87,54.69,2019
"IBRD only",98.06,62.47,2020
"IDA & IBRD total",80.75,20.58,2010
"IDA & IBRD total",82.02,23.45,2011
"IDA & IBRD total",82.55,25.96,2012
"IDA & IBRD total",83.46,28.07,2013
"IDA & IBRD total",84.04,30.36,2014
"IDA & IBRD total",84.9,33,2015
"IDA & IBRD total",86.28,35.79,2016
"IDA & IBRD total",87.26,38.28,2017
"IDA & IBRD total",88.3,42.18,2018
"IDA & IBRD total",88.65,47.47,2019
"IDA & IBRD total",89,54.19,2020
"IDA blend",64.23,9.32,2010
"IDA blend",68.65,10.53,2011
"IDA blend",68.32,12.07,2012
"IDA blend",69.57,14.14,2013
"IDA blend",68.75,16.39,2014
"IDA blend",69.05,18.78,2015
"IDA blend",72.92,21.17,2016
"IDA blend",71.87,23.85,2017
"IDA blend",73.38,27.75,2018
"IDA blend",74.09,32.18,2019
"IDA blend",74.61,36.21,2020
"IDA only",38.64,4.03,2010
"IDA only",39.93,4.73,2011
"IDA only",42.62,5.65,2012
"IDA only",43.41,6.77,2013
"IDA only",44.94,9.47,2014
"IDA only",47.09,11.8,2015
"IDA only",51,15.41,2016
"IDA only",54.43,18.2,2017
"IDA only",55.33,20.83,2018
"IDA only",57.1,23.57,2019
"IDA only",58.61,27.61,2020
"IDA total",47.22,5.9,2010
"IDA total",49.57,6.77,2011
"IDA total",51.25,7.9,2012
"IDA total",52.19,9.34,2013
"IDA total",52.93,11.84,2014
"IDA total",54.44,14.19,2015
"IDA total",58.32,17.33,2016
"IDA total",60.25,20.08,2017
"IDA total",61.33,23.24,2018
"IDA total",62.74,26.5,2019
"IDA total",63.91,30.54,2020
Iceland,100,93.39,2010
Iceland,100,94.82,2011
Iceland,100,96.21,2012
Iceland,100,96.55,2013
Iceland,100,98.16,2014
Iceland,100,98.2,2015
Iceland,100,98.24,2016
Iceland,100,98.26,2017
Iceland,100,99.01,2018
Iceland,100,99.5,2019
Iceland,100,99.53,2020
India,76.3,7.5,2010
India,79.52,10.07,2011
India,79.9,11.1,2012
India,83.13,12.3,2013
India,85.13,13.5,2014
India,88,14.9,2015
India,89.59,16.5,2016
India,91.79,18.2,2017
India,95.7,20.08,2018
India,95.89,29.52,2019
India,96.5,43.41,2020
Indonesia,94.15,10.92,2010
Indonesia,94.83,12.28,2011
Indonesia,96,14.52,2012
Indonesia,96.46,14.94,2013
Indonesia,97.01,17.14,2014
Indonesia,97.54,22.06,2015
Indonesia,97.62,25.45,2016
Indonesia,98.14,32.34,2017
Indonesia,98.51,39.9,2018
Indonesia,98.85,47.69,2019
Indonesia,96.95,53.73,2020
"Iran, Islamic Rep.",99.43,15.9,2010
"Iran, Islamic Rep.",99.47,19,2011
"Iran, Islamic Rep.",99.53,22.73,2012
"Iran, Islamic Rep.",99.83,29.95,2013
"Iran, Islamic Rep.",100,39.35,2014
"Iran, Islamic Rep.",99.96,45.33,2015
"Iran, Islamic Rep.",99.95,53.23,2016
"Iran, Islamic Rep.",99.94,64.04,2017
"Iran, Islamic Rep.",100,70.2,2018
"Iran, Islamic Rep.",100,72.45,2019
"Iran, Islamic Rep.",100,75.57,2020
Iraq,98.36,2.5,2010
Iraq,98,5,2011
Iraq,99.3,7.1,2012
Iraq,99.02,9.2,2013
Iraq,99.24,13.21,2014
Iraq,99.45,15.2,2015
Iraq,99.65,19.9,2016
Iraq,99.88,26,2017
Iraq,99.9,33.9,2018
Iraq,99.99,44.33,2019
Iraq,100,45.79,2020
Ireland,100,69.85,2010
Ireland,100,74.89,2011
Ireland,100,76.92,2012
Ireland,100,78.25,2013
Ireland,100,83.49,2014
Ireland,100,83.49,2015
Ireland,100,83.5,2016
Ireland,100,84.11,2017
Ireland,100,87,2018
Ireland,100,87,2019
Ireland,100,92,2020
Israel,100,67.5,2010
Israel,100,68.87,2011
Israel,100,70.8,2012
Israel,100,70.25,2013
Israel,100,75.02,2014
Israel,100,77.35,2015
Israel,100,79.65,2016
Israel,100,81.58,2017
Israel,100,83.73,2018
Israel,100,86.79,2019
Israel,100,90.13,2020
Italy,100,53.68,2010
Italy,100,54.39,2011
Italy,100,55.83,2012
Italy,100,58.46,2013
Italy,100,55.64,2014
Italy,100,58.14,2015
Italy,100,61.32,2016
Italy,100,63.08,2017
Italy,100,74.39,2018
Italy,100,67.85,2019
Italy,100,70.48,2020
Jamaica,92.2,27.67,2010
Jamaica,91.1,37.44,2011
Jamaica,93.1,33.79,2012
Jamaica,93.9,37.1,2013
Jamaica,93.3,40.4,2014
Jamaica,94.9,42.22,2015
Jamaica,96.58,44.37,2016
Jamaica,97.37,55.07,2017
Jamaica,98.15,68.21,2018
Jamaica,98.93,70.84,2019
Jamaica,99.71,79.43,2020
Japan,100,78.21,2010
Japan,100,79.05,2011
Japan,100,79.5,2012
Japan,100,88.22,2013
Japan,100,89.11,2014
Japan,100,91.06,2015
Japan,100,93.18,2016
Japan,100,91.73,2017
Japan,100,88.75,2018
Japan,100,92.73,2019
Japan,100,90.22,2020
Jordan,100,27.2,2010
Jordan,99.6,34.9,2011
Jordan,99.5,37,2012
Jordan,99.69,41.4,2013
Jordan,99.79,46.2,2014
Jordan,99.89,54.22,2015
Jordan,99.95,56.15,2016
Jordan,100,64.5,2017
Jordan,99.9,65.2,2018
Jordan,99.9,70.08,2019
Jordan,99.9,75.45,2020
Kazakhstan,100,31.6,2010
Kazakhstan,99.8,50.6,2011
Kazakhstan,100,61.91,2012
Kazakhstan,100,63.3,2013
Kazakhstan,100,66,2014
Kazakhstan,100,70.83,2015
Kazakhstan,100,74.59,2016
Kazakhstan,100,76.43,2017
Kazakhstan,100,78.9,2018
Kazakhstan,100,81.88,2019
Kazakhstan,100,85.94,2020
Kenya,36.16,8.8,2011
Kenya,38.13,10.5,2012
Kenya,40.09,13,2013
Kenya,36,16.5,2014
Kenya,41.6,16.59,2015
Kenya,53.1,16.6,2016
Kenya,55.83,17.83,2017
Kenya,61.18,19.5,2018
Kenya,69.7,22.67,2019
Kenya,71.49,25.53,2020
Kiribati,63.17,9.07,2010
Kiribati,74.85,10,2011
Kiribati,76.66,10.75,2012
Kiribati,78.83,11.5,2013
Kiribati,83.39,12.25,2014
Kiribati,90.56,14.9,2015
Kiribati,92.57,19.42,2016
Kiribati,85.67,25.31,2017
Kiribati,87.47,32.99,2018
Kiribati,89.26,42.99,2019
Kiribati,91.04,45.15,2020
"Korea, Rep.",100,83.7,2010
"Korea, Rep.",100,83.76,2011
"Korea, Rep.",100,84.07,2012
"Korea, Rep.",100,84.77,2013
"Korea, Rep.",100,87.56,2014
"Korea, Rep.",100,89.9,2015
"Korea, Rep.",100,92.84,2016
"Korea, Rep.",100,95.07,2017
"Korea, Rep.",100,96.02,2018
"Korea, Rep.",100,96.16,2019
"Korea, Rep.",100,96.51,2020
Kuwait,100,61.4,2010
Kuwait,100,65.77,2011
Kuwait,100,70.45,2012
Kuwait,100,75.46,2013
Kuwait,100,78.7,2014
Kuwait,100,82,2015
Kuwait,100,85.6,2016
Kuwait,100,98,2017
Kuwait,100,99.6,2018
Kuwait,100,99.54,2019
Kuwait,100,99.11,2020
"Kyrgyz Republic",99,16.3,2010
"Kyrgyz Republic",98.32,17.5,2011
"Kyrgyz Republic",99.8,19.8,2012
"Kyrgyz Republic",98.93,23,2013
"Kyrgyz Republic",99.8,28.3,2014
"Kyrgyz Republic",98.69,30.25,2015
"Kyrgyz Republic",99.71,40.5,2016
"Kyrgyz Republic",100,50.8,2017
"Kyrgyz Republic",100,57.1,2018
"Kyrgyz Republic",99.88,64.1,2019
"Kyrgyz Republic",99.87,72,2020
"Lao PDR",70.22,7,2010
"Lao PDR",70,9,2011
"Lao PDR",76.37,10.75,2012
"Lao PDR",79.29,12.5,2013
"Lao PDR",82.5,14.26,2014
"Lao PDR",89.7,18.2,2015
"Lao PDR",89.01,21.87,2016
"Lao PDR",93.6,25.51,2017
"Lao PDR",92.9,36.3,2018
"Lao PDR",98.4,47.03,2019
"Lao PDR",99.31,54,2020
"Late-demographic dividend",98.36,36.66,2010
"Late-demographic dividend",98.63,40.87,2011
"Late-demographic dividend",98.76,45.09,2012
"Late-demographic dividend",98.9,48.03,2013
"Late-demographic dividend",99.01,50.75,2014
"Late-demographic dividend",98.79,53.37,2015
"Late-demographic dividend",99.12,56.78,2016
"Late-demographic dividend",99.28,59.18,2017
"Late-demographic dividend",99.29,63.98,2018
"Late-demographic dividend",99.33,68.36,2019
"Late-demographic dividend",99.39,73.66,2020
"Latin America & Caribbean",95.88,34.74,2010
"Latin America & Caribbean",96.2,39.37,2011
"Latin America & Caribbean",96.58,43.2,2012
"Latin America & Caribbean",96.87,46.26,2013
"Latin America & Caribbean",97.04,48.81,2014
"Latin America & Caribbean",97.29,54.4,2015
"Latin America & Caribbean",97.48,57.54,2016
"Latin America & Caribbean",97.71,60.26,2017
"Latin America & Caribbean",97.76,63.6,2018
"Latin America & Caribbean",98,68.75,2019
"Latin America & Caribbean",98.16,73.91,2020
"Latin America & Caribbean (excluding high income)",95.6,34.01,2010
"Latin America & Caribbean (excluding high income)",95.96,38.68,2011
"Latin America & Caribbean (excluding high income)",96.34,42.21,2012
"Latin America & Caribbean (excluding high income)",96.66,45.15,2013
"Latin America & Caribbean (excluding high income)",96.79,47.73,2014
"Latin America & Caribbean (excluding high income)",97.07,53.36,2015
"Latin America & Caribbean (excluding high income)",97.3,56.44,2016
"Latin America & Caribbean (excluding high income)",97.57,59.34,2017
"Latin America & Caribbean (excluding high income)",97.58,62.76,2018
"Latin America & Caribbean (excluding high income)",97.85,68.05,2019
"Latin America & Caribbean (excluding high income)",98.01,73.45,2020
"Latin America & the Caribbean (IDA & IBRD countries)",95.81,35.01,2010
"Latin America & the Caribbean (IDA & IBRD countries)",96.13,39.73,2011
"Latin America & the Caribbean (IDA & IBRD countries)",96.52,43.42,2012
"Latin America & the Caribbean (IDA & IBRD countries)",96.81,46.44,2013
"Latin America & the Caribbean (IDA & IBRD countries)",96.98,49.02,2014
"Latin America & the Caribbean (IDA & IBRD countries)",97.24,54.64,2015
"Latin America & the Caribbean (IDA & IBRD countries)",97.43,57.72,2016
"Latin America & the Caribbean (IDA & IBRD countries)",97.67,60.24,2017
"Latin America & the Caribbean (IDA & IBRD countries)",97.71,63.56,2018
"Latin America & the Caribbean (IDA & IBRD countries)",97.96,68.69,2019
"Latin America & the Caribbean (IDA & IBRD countries)",98.11,73.95,2020
Latvia,99.75,68.42,2010
Latvia,99.8,69.75,2011
Latvia,100,73.12,2012
Latvia,100,75.23,2013
Latvia,100,75.83,2014
Latvia,100,79.2,2015
Latvia,100,79.84,2016
Latvia,100,80.11,2017
Latvia,100,83.58,2018
Latvia,100,86.14,2019
Latvia,100,88.9,2020
"Least developed countries: UN classification",32.92,3.1,2010
"Least developed countries: UN classification",34.42,3.77,2011
"Least developed countries: UN classification",37.79,4.66,2012
"Least developed countries: UN classification",38.15,5.8,2013
"Least developed countries: UN classification",39.46,8.62,2014
"Least developed countries: UN classification",42.28,10.71,2015
"Least developed countries: UN classification",46.33,13.69,2016
"Least developed countries: UN classification",50.21,15.99,2017
"Least developed countries: UN classification",51.18,18.46,2018
"Least developed countries: UN classification",52.96,21.34,2019
"Least developed countries: UN classification",54.57,25.42,2020
Lebanon,99.5,43.68,2010
Lebanon,99.68,52,2011
Lebanon,99.53,61.25,2012
Lebanon,99.61,70.5,2013
Lebanon,99.67,73,2014
Lebanon,99.74,74,2015
Lebanon,99.8,76.11,2016
Lebanon,99.85,78.18,2017
Lebanon,99.7,80.9,2018
Lebanon,99.95,79.76,2019
Lebanon,99.98,83.1,2020
Lesotho,31.77,25,2015
Lesotho,35.07,32.45,2016
Lesotho,33.7,39,2017
Lesotho,47,40.8,2018
Lesotho,44.56,42.3,2019
Lesotho,47.5,42.86,2020
Libya,81.9,14,2010
Libya,80.29,14,2011
Libya,78.68,15.2,2012
Libya,77.07,16.5,2013
Libya,75.45,17.76,2014
Liechtenstein,100,80,2010
Liechtenstein,100,85,2011
Liechtenstein,100,89.41,2012
Liechtenstein,100,93.8,2013
Liechtenstein,100,95.21,2014
Liechtenstein,100,96.64,2015
Liechtenstein,100,98.09,2016
Liechtenstein,100,99.55,2017
Liechtenstein,100,93.15,2019
Liechtenstein,100,94.35,2020
Lithuania,99.72,62.12,2010
Lithuania,99.72,63.64,2011
Lithuania,100,67.23,2012
Lithuania,100,68.45,2013
Lithuania,100,72.13,2014
Lithuania,100,71.38,2015
Lithuania,100,74.38,2016
Lithuania,100,77.62,2017
Lithuania,100,79.72,2018
Lithuania,100,81.58,2019
Lithuania,100,83.06,2020
"Low & middle income",80.21,19.92,2010
"Low & middle income",81.51,22.8,2011
"Low & middle income",82.05,25.28,2012
"Low & middle income",82.99,27.38,2013
"Low & middle income",83.59,29.78,2014
"Low & middle income",84.47,32.41,2015
"Low & middle income",85.88,35.19,2016
"Low & middle income",86.88,37.73,2017
"Low & middle income",87.94,41.74,2018
"Low & middle income",88.32,47.07,2019
"Low & middle income",88.68,53.85,2020
"Low income",30.88,5.5,2013
"Low income",32.28,7.12,2014
"Low income",32.21,9.07,2015
"Low income",37.44,10.86,2016
"Low income",39.07,12.54,2017
"Low income",40.5,14.16,2018
"Low income",41.84,16.06,2019
"Low income",43.22,18.75,2020
"Lower middle income",73.33,10.53,2010
"Lower middle income",76.07,12.74,2011
"Lower middle income",76.58,14.24,2012
"Lower middle income",78.46,16.1,2013
"Lower middle income",79.57,18.52,2014
"Lower middle income",81.8,20.79,2015
"Lower middle income",83.73,23.81,2016
"Lower middle income",85.57,26.7,2017
"Lower middle income",87.71,29.81,2018
"Lower middle income",88.36,36.4,2019
"Lower middle income",89.09,45.39,2020
Luxembourg,100,90.62,2010
Luxembourg,100,90.03,2011
Luxembourg,100,91.95,2012
Luxembourg,100,93.78,2013
Luxembourg,100,94.67,2014
Luxembourg,100,96.38,2015
Luxembourg,100,98.14,2016
Luxembourg,100,97.36,2017
Luxembourg,100,97.06,2018
Luxembourg,100,97.12,2019
Luxembourg,100,98.46,2020
"Macao SAR, China",100,55.2,2010
"Macao SAR, China",100,60.2,2011
"Macao SAR, China",100,61.31,2012
"Macao SAR, China",100,65.8,2013
"Macao SAR, China",100,69.78,2014
"Macao SAR, China",100,77.6,2015
"Macao SAR, China",100,81.64,2016
"Macao SAR, China",100,83.17,2017
"Macao SAR, China",100,83.79,2018
"Macao SAR, China",100,86.47,2019
"Macao SAR, China",100,88.33,2020
Madagascar,36.5,8.7,2018
Madagascar,31.04,11.83,2019
Madagascar,32,13.72,2020
Malaysia,99.48,56.3,2010
Malaysia,99.5,61,2011
Malaysia,99.8,65.8,2012
Malaysia,99.6,57.06,2013
Malaysia,99.72,63.67,2014
Malaysia,99.86,71.06,2015
Malaysia,99.9,78.79,2016
Malaysia,99.98,80.14,2017
Malaysia,100,81.2,2018
Malaysia,100,84.19,2019
Malaysia,100,89.56,2020
Maldives,99,26.53,2010
Maldives,99.1,34,2011
Maldives,99.21,38.93,2012
Maldives,99.36,44.1,2013
Maldives,100,49.28,2014
Maldives,99.77,54.46,2015
Maldives,100,59.5,2016
Maldives,99.8,65,2017
Maldives,100,70.9,2018
Maldives,100,77.47,2019
Maldives,100,77.59,2020
Mali,32.42,3.5,2013
Mali,34.22,7,2014
Mali,37.6,10.33,2015
Mali,38.8,14,2016
Mali,34.78,18.9,2017
Mali,50.9,21.4,2018
Mali,47.85,22.31,2019
Mali,50.64,27.86,2020
Malta,100,63,2010
Malta,100,68.02,2011
Malta,100,68.2,2012
Malta,100,68.91,2013
Malta,100,73.17,2014
Malta,100,75.96,2015
Malta,100,78.08,2016
Malta,100,81.01,2017
Malta,100,81.66,2018
Malta,100,85.78,2019
Malta,100,86.86,2020
"Marshall Islands",89.4,7,2010
"Marshall Islands",89.92,10,2011
"Marshall Islands",90.36,12.5,2012
"Marshall Islands",90.89,14,2013
"Marshall Islands",91.46,16.8,2014
"Marshall Islands",92.06,19.28,2015
"Marshall Islands",92.67,29.79,2016
"Marshall Islands",93.76,38.7,2017
Mauritania,34.2,4,2010
Mauritania,35.3,4.5,2011
Mauritania,36.42,5,2012
Mauritania,37.58,6.2,2013
Mauritania,38.8,11.8,2014
Mauritania,39.5,17.6,2015
Mauritania,41.25,24.1,2016
Mauritania,42.9,24.2,2017
Mauritania,43.59,35.1,2018
Mauritania,44.95,42.32,2019
Mauritania,45.4,53.52,2020
Mauritius,99.4,28.33,2010
Mauritius,99.6,34.95,2011
Mauritius,99.37,35.42,2012
Mauritius,99.4,40.12,2013
Mauritius,99.47,44.8,2014
Mauritius,99.57,50.14,2015
Mauritius,99.69,52.19,2016
Mauritius,99.61,55.4,2017
Mauritius,99.79,58.6,2018
Mauritius,100,61.73,2019
Mauritius,99.46,64.88,2020
Mexico,99.24,31.05,2010
Mexico,99,37.18,2011
Mexico,99.11,39.75,2012
Mexico,99.15,43.46,2013
Mexico,99.17,44.39,2014
Mexico,99,57.43,2015
Mexico,99.5,59.54,2016
Mexico,100,53.03,2017
Mexico,99.5,56.66,2018
Mexico,99.6,69.63,2019
Mexico,99.4,71.49,2020
"Micronesia, Fed. Sts.",64.53,20,2010
"Micronesia, Fed. Sts.",66.27,22.8,2011
"Micronesia, Fed. Sts.",67.83,25.97,2012
"Micronesia, Fed. Sts.",69.41,27.8,2013
"Micronesia, Fed. Sts.",71.2,29.65,2014
"Micronesia, Fed. Sts.",72.98,31.5,2015
"Micronesia, Fed. Sts.",74.76,33.35,2016
"Micronesia, Fed. Sts.",76.54,35.3,2017
"Micronesia, Fed. Sts.",80.08,39.85,2019
"Micronesia, Fed. Sts.",81.85,40.13,2020
"Middle East & North Africa",95.91,24.86,2010
"Middle East & North Africa",95.92,27.77,2011
"Middle East & North Africa",95.43,31.21,2012
"Middle East & North Africa",97.08,35.15,2013
"Middle East & North Africa",96.52,40.08,2014
"Middle East & North Africa",96.5,44.35,2015
"Middle East & North Africa",96.79,48.41,2016
"Middle East & North Africa",97.63,54.88,2017
"Middle East & North Africa",96.15,60.23,2018
"Middle East & North Africa",97.13,67.33,2019
"Middle East & North Africa",97.23,72.79,2020
"Middle East & North Africa (IDA & IBRD countries)",95.21,20.52,2010
"Middle East & North Africa (IDA & IBRD countries)",95.22,22.78,2011
"Middle East & North Africa (IDA & IBRD countries)",94.63,25.78,2012
"Middle East & North Africa (IDA & IBRD countries)",96.56,29.49,2013
"Middle East & North Africa (IDA & IBRD countries)",95.9,34.53,2014
"Middle East & North Africa (IDA & IBRD countries)",95.88,38.84,2015
"Middle East & North Africa (IDA & IBRD countries)",96.22,42.92,2016
"Middle East & North Africa (IDA & IBRD countries)",97.21,48.45,2017
"Middle East & North Africa (IDA & IBRD countries)",95.46,54.09,2018
"Middle East & North Africa (IDA & IBRD countries)",96.61,62.12,2019
"Middle East & North Africa (IDA & IBRD countries)",96.73,68.28,2020
"Middle East & North Africa (excluding high income)",95.26,20.72,2010
"Middle East & North Africa (excluding high income)",95.27,23,2011
"Middle East & North Africa (excluding high income)",94.69,25.99,2012
"Middle East & North Africa (excluding high income)",96.6,29.7,2013
"Middle East & North Africa (excluding high income)",95.95,34.76,2014
"Middle East & North Africa (excluding high income)",95.93,39.05,2015
"Middle East & North Africa (excluding high income)",96.26,43.13,2016
"Middle East & North Africa (excluding high income)",97.24,48.63,2017
"Middle East & North Africa (excluding high income)",95.51,54.22,2018
"Middle East & North Africa (excluding high income)",96.65,62.23,2019
"Middle East & North Africa (excluding high income)",96.77,68.39,2020
"Middle income",85.47,21.35,2010
"Middle income",86.93,24.51,2011
"Middle income",87.3,27.17,2012
"Middle income",88.29,29.47,2013
"Middle income",88.87,31.85,2014
"Middle income",89.92,34.58,2015
"Middle income",91.01,37.66,2016
"Middle income",92.03,40.32,2017
"Middle income",93.13,44.31,2018
"Middle income",93.49,50.14,2019
"Middle income",93.83,57.39,2020
Moldova,99.28,29.68,2010
Moldova,99.4,32.07,2011
Moldova,99.52,34.65,2012
Moldova,99.64,37.44,2013
Moldova,99.75,40.5,2014
Moldova,99.86,43.1,2015
Moldova,99.94,46.7,2016
Moldova,99.98,49.9,2017
Moldova,99.99,50.3,2018
Moldova,100,57.76,2019
Moldova,100,59.15,2020
Mongolia,78.5,10.2,2010
Mongolia,72.06,12.5,2011
Mongolia,83.71,16.4,2012
Mongolia,81.2,17.7,2013
Mongolia,85.98,19.94,2014
Mongolia,87.97,22.5,2015
Mongolia,90.81,22.27,2016
Mongolia,93.62,23.71,2017
Mongolia,98.1,47.13,2018
Mongolia,98.92,51.08,2019
Mongolia,99.5,65.63,2020
Montenegro,99.15,37.5,2010
Montenegro,99,35.61,2011
Montenegro,99.3,56.84,2012
Montenegro,99.7,60.31,2013
Montenegro,97.7,61,2014
Montenegro,99.49,68.12,2015
Montenegro,99.6,69.88,2016
Montenegro,100,71.27,2017
Montenegro,100,71.52,2018
Montenegro,99.96,73.48,2019
Montenegro,99.85,77.61,2020
Morocco,95.73,52,2010
Morocco,96.07,46.11,2011
Morocco,96.44,55.42,2012
Morocco,97.2,56,2013
Morocco,97.28,56.8,2014
Morocco,97.3,57.08,2015
Morocco,97.8,58.27,2016
Morocco,100,61.76,2017
Morocco,98.1,64.8,2018
Morocco,99.6,84.12,2019
Morocco,100,84.12,2020
Mozambique,31.1,10.9,2018
Mozambique,30.61,16.31,2020
Myanmar,48.8,0.25,2010
Myanmar,54.13,0.98,2011
Myanmar,55.3,1.4,2012
Myanmar,56.47,1.8,2013
Myanmar,52,7.4,2014
Myanmar,60.5,10.9,2015
Myanmar,55.6,16,2016
Myanmar,69.81,23.62,2017
Myanmar,66.1,28.7,2018
Myanmar,68.31,30.64,2019
Myanmar,70.42,41.95,2020
